actual_previous_day,predict_next_day
63.699999999999996,58.43657
61.38,54.672092
58.8,54.444843
54.87,53.110363
51.21,52.248413
50.19,54.66354
57.62,56.59696
63.19,60.693558
66.45,62.90813
66.23,64.03165
67.5,65.255905
66.48,64.74832
64.64,63.44728
61.24,62.303516
53.43,59.264908
51.75,57.36122
51.51,57.56492
53.65,60.46998
62.52000000000001,64.27498
66.89,68.52202
67.96,70.5679
66.4,70.31569
61.78000000000001,66.09996
58.72,61.259563
